Employee Id,First Name,Last Name,Preferred First Name,Email,Secondary Email,Phone Number,Username,Password,Hire Date,Birth Date,Role,Country Code,Supervisor Id,Group Name,Language,#isalive,#isreal,#israndomlygenerated,#Job Word?,#zodiac
aoawlkht34,Brenden,Eich,,taylor.plewe+eich@awardco.com,,,papa-javascript,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,CANCER
u7j7uyj7,Brett,Cooper,,taylor.plewe+brettcooper@awardco.com,,,news_mother,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,CANCER
oij4oij4oij4oi4jo4,Butters,Scotch,,taylor.plewe+butters@awardco.com,,,butters,,7/17/22,17-Jul,Employee,US,,,en,TRUE,FALSE,FALSE,FALSE,CANCER
q2r34qwesw,Buzz,Aldrin,,taylor.plewe+buzzaldrin@awardco.com,,,ilandedonthemoon,,7/1/22,1-Jul,Employee,US,a75777079,,en,TRUE,TRUE,FALSE,FALSE,CANCER
a76190129,C.J.,Cron,,taylor.plewe+cron@awardco.com,,,cj_cron_rox_win,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,CANCER
a89216525,Cadence,Stephens,,taylor.plewe+cadencestephens@awardco.com,,,cadence_stephens,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,CANCER
a66698915,Capris,Wisher,,taylor.plewe+capriswisher@awardco.com,,,capris,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,FALSE,FALSE,CANCER
a4133329,Carl,Garrison,,taylor.plewe+carlgarrison@awardco.com,,,carl_garrison,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,CANCER
a32390980,Carl,Yastrzemski,,taylor.plewe+carlyastrzemski@awardco.com,,,carl_yastrzemski,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,CANCER
fasg,Carmen,Sandiego,,taylor.plewe+carmen@awardco.com,,,carm-o,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,FALSE,FALSE,CANCER
a59157634,Carter,Floyd,,taylor.plewe+carterfloyd@awardco.com,,,carter_floyd,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,CANCER
oitow54,Chester,Bennington,,taylor.plewe+chester@awardco.com,,,linking-park.exe,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,CANCER
8g7089qugwj,Christian,Arroyo,,taylor.plewe+arroyo@awardco.com,,,arroyo-boi,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,CANCER
xcvsdi,Cody,Johnson,,taylor.plewe+cojo@awardco.com,,,cojo,,7/1/22,1-Jul,Employee,US,,,,TRUE,TRUE,FALSE,FALSE,CANCER
a5684549,Colton,Arias,,taylor.plewe+coltonarias@awardco.com,,,colton_arias,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,CANCER
the___notorious,Conor,McGregor,,taylor.plewe+mcgregor@awardco.com,,,notorious,,7/26/22,26-Jul,Employee,IE,,,en,TRUE,TRUE,FALSE,FALSE,CANCER
a28302099,Cullen,Duran,,taylor.plewe+cullendruan@awardco.com,,,cullen_duran,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,CANCER
a51482892,Cynthia,Boyle,,taylor.plewe+cynthiaboyle@awardco.com,,,cynthia_boyle,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,CANCER
fieieie,Dagoth,Ur,,taylor.plewe+dagoth@awardco.com,,,papa-dagoth,,7/1/22,1-Jul,Employee,RO,,,ro,TRUE,FALSE,FALSE,FALSE,CANCER
a41236404,Dallin,Arave,,taylor.plewe+elderarave@awardco.com,,,elder-arave,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,CANCER
a13173938,Daniel,Thompson,,taylor.plewe+elderthompson@awardco.com,,,daniel_thompson,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,CANCER
1o2irj2,Dansby,Swanson,,taylor.plewe+dansby@awardco.com,,,dansb,,7/1/22,1-Jul,Employee,US,fowitawfs,,en,TRUE,TRUE,FALSE,FALSE,CANCER
jhw3490th,Dave,Grohl,,taylor.plewe+grohl@awardco.com,,,davegrohl,,7/1/22,1-Jul,Employee,US,fowitawfs,,en,TRUE,TRUE,FALSE,FALSE,CANCER
a75777079,Dave,Rich,,taylor.plewe+elderrich@awardco.com,,,elder-rich,,7/1/22,1-Jul,Employee,US,fowitawfs,,en,TRUE,TRUE,FALSE,FALSE,CANCER
wj90dj0d9d,David,Crosby,,taylor.plewe+davidcrosby@awardco.com,,,csny-crosby,,7/1/22,1-Jul,Employee,US,fowitawfs,,en,TRUE,TRUE,FALSE,FALSE,CANCER
o09jsliekjliht,David,Gilmour,,taylor.plewe+gilmour@awardco.com,,,pf-guitar,,7/1/22,1-Jul,Employee,GB,fowitawfs,,en,TRUE,TRUE,FALSE,FALSE,CANCER
a65171853,Davion,Andrews,,taylor.plewe+davionandrews@awardco.com,,,davion_andrews,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,CANCER
2r32q,Deon,Sanders,,taylor.plewe+deonsanders@awardco.com,,,deon,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,CANCER
a29338158,Diana,Frederick,,taylor.plewe+dianafrederick@awardco.com,,,,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,CANCER
09tejrwt4j,Dierks,Bentley,,taylor.plewe+bentley@awardco.com,,,dierks-boi,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,LEO
rsadfa,Dmitri,Karamazov,,taylor.plewe+dmitri@awardco.com,,,dmitri-boi,,7/1/22,1-Jul,Employee,RU,,,ru,TRUE,FALSE,FALSE,FALSE,LEO
a48338362,Dominick,Bradley,,taylor.plewe+dominickbradley@awardco.com,,,,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,LEO
fowitawfs,Don,Henley,,taylor.plewe+henley@awardco.com,,,henley,,7/1/22,1-Jul,Employee,US,oiglkjoiahwt,,en,TRUE,TRUE,FALSE,FALSE,LEO
4wt3tsre23,Drew,Brees,,taylor.plewe+drewbrees@awardco.com,,,breeeeez,,7/1/22,1-Jul,Employee,US,a75777079,,en,TRUE,TRUE,FALSE,FALSE,LEO
dutchess___,Dutch,Van der Linde,,,,,,,10/17/23,,Employee,US,a75777079,,en,,,,FALSE,LEO
a68479551,Dylan,Vazquez,,taylor.plewe+dylhole@awardco.com,,,,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,LEO
eamonpatrickdonnelley,Eamon,Donnelley,,taylor.plewe+eamon_patrick_donnelley@awardco.com,,,,,7/10/23,,Employee,IE,,,,TRUE,TRUE,FALSE,FALSE,LEO
hh4hh4ioh44,Earl,Sweatshirt,,taylor.plewe+sweatshirt@awardco.com,,,sweathsirt,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,LEO
fooooootball,Eli,Manning,,taylor.plewe+elibrudder@awardco.com,,,elibrudder,,7/8/22,8-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,LEO
a52176117,Elliana,Barrett,,taylor.plewe+elliana_barret@awardco.com,,,,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,LEO
rqr4rs,Emmanuel,Sanders,,taylor.plewe+emmanuel@awardco.com,,,new-orleans-saints,,7/1/22,1-Jul,Employee,US,1o2irj2,,en,TRUE,TRUE,FALSE,FALSE,LEO
a19435428,Emmy,Strickland,,taylor.plewe+emmystrickland@awardco.com,,,,,7/1/22,1-Jul,Employee,US,1o2irj2,,en,TRUE,FALSE,TRUE,FALSE,LEO
donttreadonme22,Eric,Cartman,,taylor.plewe+ericcartman@awardco.com,,,ericcartman___,,7/12/22,12-Jul,Employee,US,1o2irj2,,en,TRUE,FALSE,FALSE,FALSE,LEO
afweijowfjowiefj,Éric,Chahi,,taylor.plewe+outofthisworld@awardco.com,,,outofthisworld,,7/1/22,1-Jul,Employee,FR,1o2irj2,,fr,TRUE,TRUE,FALSE,FALSE,LEO
a41984087,Erik,Pope,,taylor.plewe+erikpope@awardco.com,,,,,7/1/22,1-Jul,Employee,US,1o2irj2,,en,TRUE,FALSE,TRUE,FALSE,LEO
a29264610,Everett,Hobbs,,taylor.plewe+everetthobbs@awardco.com,,,,,7/1/22,1-Jul,Employee,US,1o2irj2,,en,TRUE,FALSE,TRUE,FALSE,LEO
a31133199,Fabian,Garrett,,taylor.plewe+fabiangarret@awardco.com,,,,,7/1/22,1-Jul,Employee,US,1o2irj2,,en,TRUE,FALSE,TRUE,FALSE,LEO
a38367497,Faye,Mathis,,taylor.plewe+fayemathis@awardco.com,,,,,7/1/22,1-Jul,Employee,US,1o2irj2,,en,TRUE,FALSE,TRUE,FALSE,LEO
a75240263,Faye,Walton,,taylor.plewe+fayewalton@awardco.com,,,,,7/1/22,1-Jul,Employee,US,1o2irj2,,en,TRUE,FALSE,TRUE,FALSE,LEO
a44012540,Francisco,Jones,,taylor.plewe+franciscojones@awardco.com,,,,,7/1/22,1-Jul,Employee,US,1o2irj2,,en,TRUE,FALSE,TRUE,FALSE,LEO
a20967148,Freddie,Freeman,,taylor.plewe+freddie_freeman@awardco.com,,,,,7/1/22,1-Jul,Employee,US,1o2irj2,,en,TRUE,TRUE,FALSE,FALSE,LEO
cxgbretset,Fyodor,Dostoevsky,,taylor.plewe+fyodorovich@awardco.com,,,pyotor,,7/1/22,1-Jul,Employee,RU,1o2irj2,,ru,TRUE,TRUE,FALSE,FALSE,LEO
a12649035,Gabriela,Ward,,taylor.plewe+gabrielaward@awardco.com,,,,,7/1/22,1-Jul,Employee,US,1o2irj2,,en,TRUE,FALSE,TRUE,FALSE,LEO
a89140832,Gatlin,McCann,,taylor.plewe+gatlin_mcann@awardco.com,,,,,7/1/22,1-Jul,Employee,US,1o2irj2,,en,TRUE,FALSE,TRUE,FALSE,LEO
a10928064,Georg,Holm,,taylor.plewe+georg_holm@awardco.com,,,,,7/1/22,1-Jul,Employee,IS,jhw3490th,,is,TRUE,TRUE,FALSE,FALSE,LEO
usususus,George,Kittle,,taylor.plewe+kittle@awardco.com,,,gkgk,,7/1/22,1-Jul,Employee,US,jhw3490th,,en,TRUE,TRUE,FALSE,FALSE,LEO
dman,Gerhard,von Michael,,ghard@hurleyco.com,,+49 3521 8921238,,,7/1/22,1-Jul,Admin,DE,jhw3490th,,de,TRUE,FALSE,FALSE,FALSE,LEO
a62742179,Giovanna,Blackwell,,,,,,,7/1/22,1-Jul,Employee,US,jhw3490th,,en,TRUE,FALSE,TRUE,FALSE,LEO
4hiuh3h3oijd,Glen,Campbell,,taylor.plewe+glen@awardco.com,,,wichita-lineman,,7/1/22,1-Jul,Employee,US,jhw3490th,,en,TRUE,TRUE,FALSE,FALSE,LEO
a67574564,Gracelynn,O’brien,,,,,,,7/1/22,1-Jul,Employee,US,jhw3490th,,en,TRUE,FALSE,TRUE,FALSE,LEO
esju09j4kijk,Graham,Nash,,taylor.plewe+nash@awardco.com,,,csny-nash,,7/1/22,1-Jul,Employee,GB,jhw3490th,,en,TRUE,TRUE,FALSE,FALSE,LEO
io990hs5,Gregory,Isakov,,taylor.plewe+gregoryalanisakov@awardco.com,,,isakov,,7/1/22,1-Jul,Employee,US,jhw3490th,,en,TRUE,TRUE,FALSE,FALSE,LEO
rtioueotrue,Guido,van Rossum,,taylor.plewe+fuido@awardco.com,,,papa-python,,7/1/22,1-Jul,Employee,NL,o09jsliekjliht,,nl,TRUE,TRUE,FALSE,FALSE,LEO
a48932253,Gustavo,Ford,,,,,,,7/1/22,1-Jul,Employee,US,o09jsliekjliht,,en,TRUE,FALSE,TRUE,FALSE,LEO
hals,Hals,van Bjuiren,,taylor.plewe+hals@awardco.com,,,,,7/1/22,1-Jul,Employee,NL,o09jsliekjliht,,nl,TRUE,FALSE,FALSE,FALSE,LEO
a16427605,Hank,Williams,,,,,,,7/1/22,1-Jul,Employee,US,o09jsliekjliht,,en,TRUE,TRUE,FALSE,FALSE,LEO
a3087483,Harley,Hawkins,,,,,,,7/1/22,1-Jul,Employee,US,o09jsliekjliht,,en,TRUE,FALSE,TRUE,FALSE,LEO
a51518659,Harlow,Camacho,,,,,,,7/1/22,1-Jul,Employee,US,o09jsliekjliht,,en,TRUE,FALSE,TRUE,FALSE,LEO
a87368383,Hayden,Person,,,,,,,7/1/22,1-Jul,Employee,US,o09jsliekjliht,,en,TRUE,FALSE,TRUE,FALSE,LEO
oigru5980s,Hayley,Williams,,taylor.plewe+hayleywilliams@awardco.com,,,paramoughre,,7/1/22,1-Jul,Employee,US,o09jsliekjliht,,en,TRUE,TRUE,FALSE,FALSE,LEO
nl6nl6nl6,Henry,Bowers,,taylor.plewe+bowers@awardco.com,,,worst-journey,,7/1/22,1-Jul,Employee,GB,o09jsliekjliht,,en,TRUE,TRUE,FALSE,FALSE,LEO
wwikd,Herbert,Sobel,,taylor.plewe+sobel@awardco.com,,,sobel,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,LEO
isdoftware,Hirokazu,Sawamura,,taylor.plewe+hirokazu@gmail.com,,,,,7/1/22,1-Jul,Employee,US,,,ja,TRUE,TRUE,FALSE,FALSE,LEO
UrMom,Hurley,Michaelson,,taylor.plewe+hurley@awardco.com,,,,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,FALSE,FALSE,LEO
7uj,HurleyDestroyer,McMahon,,taylor.plewe+hurleydestroyer@awardco.com,,,destruido,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,FALSE,FALSE,LEO
uk7k78,Ian,Noe,,taylor.plewe+iannoe@awardco.com,,,junk_town,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,LEO
oit95095,Ian,Tyson,,taylor.plewe+iantyson@awardco.com,,,ty1,,7/1/22,1-Jul,Employee,CA,,,en,TRUE,TRUE,FALSE,FALSE,LEO
a34724743,Idris,Park,,,,,,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,LEO
ewawef,Ivan,Karamazov,,taylor.plewe+ivan@awardco.com,,,ivan-ur-man,,7/1/22,1-Jul,Employee,RU,,,ru,TRUE,FALSE,FALSE,FALSE,LEO
w4tjwijtiw,J.,Cole,,taylor.plewe+jcole@awardco.com,,,jcole,,7/1/22,1-Jul,Employee,US,a75777079,,en,TRUE,TRUE,FALSE,FALSE,LEO
4tbw3te,Jacques,Martinet,,taylor.plewe+jacques@awardco.com,,,mec,,7/1/22,1-Jul,Employee,FR,,,fr,TRUE,FALSE,FALSE,FALSE,LEO
a25767133,Jaeger,White,,,,,,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,LEO
43tw4trt,Jamaal,Williams,,taylor.plewe+jamaal@awardco.com,,,anime-boi,,7/1/22,1-Jul,Employee,US,a75777079,,en,TRUE,TRUE,FALSE,FALSE,LEO
a3581570,James,Belyeu,,,,,,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,LEO
a3168711,Jameson,Greene,,,,,,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,LEO
45454545454545454s,Jamey,Johnson,,taylor.plewe+jameyjohnson@awardco.com,,,jjstevens,,7/2/22,2-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,VIRGO
5lk5joijoij5,Jarom,Plewe,,taylor.plewe+jarom@awardco.com,,,jaromlanyon,,7/25/22,25-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,VIRGO
a90826152,Jarren,Duran,,,,,,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,VIRGO
a21489026,Jasper,Arellano,,,,,,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,VIRGO
a71417086,Jaziel,Carroll,,,,,,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,VIRGO
jt,Jeffrey,Foucalt,,taylor.plewe+foucalt@awardco.com,,,foucalt,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,VIRGO
4ioj3o4j5,Jelly,Roll,,taylor.plewe+jelly@awardco.com,,,jellyroll,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,VIRGO
øøøøøøø,Jens,Hølm,,taylor.plewe+jens2@awardco.com,,,,,7/1/22,1-Jul,Employee,DK,,,da,TRUE,FALSE,FALSE,FALSE,VIRGO
jenserdood,Jens,Ottersson,,taylor.plewe+jens@awardco.com,,,,,7/1/22,1-Jul,Employee,DK,,,da,TRUE,FALSE,FALSE,FALSE,VIRGO
erigt2wi4,Jeremy,Soule,,taylor.plewe+soule@awardco.com,,,musique-man,,7/1/22,1-Jul,Employee,US,,,,TRUE,TRUE,FALSE,FALSE,VIRGO
rewg4234,Jerry,Jeudy,,taylor.plewe+jerryjeudy@awardco.com,,,j-j-10,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,VIRGO
a80955451,Jesse,Eaton,,,,,,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,VIRGO
oij7oijo9jijo8ijo7j,Jesse,Pinkman,,taylor.plewe+jessepink@awardco.com,,,jesse,,7/18/22,18-Jul,Employee,US,,,en,TRUE,FALSE,FALSE,FALSE,VIRGO
BbbBBBbBbBbBBBB,Jim,Michaelson,,butt@todo.com,,,,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,FALSE,FALSE,VIRGO
RedMM,Jimmy,Michaelson,,jimmy.michaelson@hurleyco.com,,,jmichaelson,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,FALSE,FALSE,VIRGO
afgoijsk34k,Jimmy,Wales,,taylor.plewe+wales@awardco.com,,,papa-wikipedia,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,VIRGO
oagijgorj95,Johannes,Brahms,,taylor.plewe+brahms@awardco.com,,,brahms,,7/1/22,1-Jul,Employee,DE,a75777079,,de,TRUE,TRUE,FALSE,FALSE,VIRGO
lfahgquh,John,Denver,,taylor.plewe+johndenver@awardco.com,,,rocky-mountain-hgih,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,VIRGO
s684,John,Madden,,taylor.plewe+madden@awardco.com,,,fußball,,7/1/22,1-Jul,Employee,US,a75777079,,en,TRUE,TRUE,FALSE,FALSE,VIRGO
3qrq32,John,Prine,,taylor.plewe+johnprine@awardco.com,,,prine,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,VIRGO
swikmtliw4tj,Jon,Pardi,,taylor.plewe+jonpardi@awardco.com,,,pardi,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,VIRGO
uhbu,Jonathan,Michaelson,Johnny,,,,,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,FALSE,FALSE,VIRGO
a82390597,Jonsi,Birgisson,,,,,,,7/1/22,1-Jul,Employee,IS,,,is,TRUE,TRUE,FALSE,FALSE,VIRGO
asdf;lkjasdf;lkj,Jordan,Mechner,,taylor.plewe+princeofpersia@awardco.com,,,xxx_the_prince_xxx,,7/1/22,1-Jul,Employee,US,,,en,TRUE,TRUE,FALSE,FALSE,VIRGO
a29791165,Joseph,Solis,,,,,,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,VIRGO
a54664002,Joyce,Beard,,,,,joyce_beard,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,VIRGO
a37991838,Judson,Walton,,,,,judson_walton,,7/1/22,1-Jul,Employee,US,,,en,TRUE,FALSE,TRUE,FALSE,VIRGO
